Cruise_Name,Station,TimePeriod,Latitude,Longitude,Ich_Haul_Fctr,Cruise_Name,Station,100000000,121050300,121050304,121060000,121060101,121060103,143130803,143150501,148010105,148010106,148010107,148010201,148010301,148010401,148010501,148010701,148041401,148041403,170024806,170025015,170070201,170070202,170080101,170200907,170201801,170201902,170203701,170280101,170282601,170340102,170400203,170440100,170440604,170460402,170511100,170570503,170570505,183010301,183010605,183012301,183012403,183020201,183020301,183021301,183030101,183050711,183050712
AL0509,25,nov,38.7217,-74.315,2.19,AL0509,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,42,nov,40.1867,-73.5467,4.1,AL0509,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,48,nov,40.0983,-71.545,4.39,AL0509,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,53,nov,40.1933,-70.2167,3.14,AL0509,53,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,59,nov,40.645,-69.6217,2.36,AL0509,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,72,nov,40.6817,-67.7483,4.34,AL0509,72,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,81,nov,41.1383,-67.5367,4.66,AL0509,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,87,nov,41.86,-66.975,2.82,AL0509,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,97,nov,42.9333,-66.1817,4.66,AL0509,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,99,nov,43.315,-67.0767,5.28,AL0509,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,102,nov,43.0717,-67.8383,4.98,AL0509,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,108,nov,41.82,-67.8083,2.29,AL0509,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,115,nov,42.31,-69.8433,5.14,AL0509,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,119,nov,42.6833,-70.1617,3.49,AL0509,119,6,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0605,14,may,39.0167,-73.5717,2.49,AL0605,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0605,20,may,37.7333,-74.3917,3.79,AL0605,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
AL0605,23,may,35.8317,-74.9817,3.6,AL0605,23,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,8,,,6,,1,,,,,,,
AL0605,33,may,37.6883,-74.8167,2.85,AL0605,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0605,38,may,39.4833,-73.9517,1.17,AL0605,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,,
AL0605,44,may,40.6517,-72.3567,1.81,AL0605,44,,,,,,,,,,,1.75,,,,,,,3.33,,,,,,,,,,17.33,,,,,,,,,,18.25,,16.33,,,,,,,
AL0605,47,may,40.275,-70.995,4.12,AL0605,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0605,48,may,40.6417,-70.7917,2.37,AL0605,48,,,,,,,,,,,,16.8,,,,,,1,,,,,,,,,,,,,,,,,,,,16.2,,3,,,,,,,
AL0605,53,may,40.1,-69.79,2.88,AL0605,53,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,3,,,,,,,
AL0605,54,may,40.3417,-69.75,2.74,AL0605,54,1,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,
AL0605,65,may,41.0217,-68.26,1.78,AL0605,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
